*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE BENZAL BENZENE BOX2PROL BPINENE BUOX2ETOH BUT1ENE BUT2OL
* C2H2 C2H4 C2H5CHO C2H5OH C2H6 C3H6 C3H7CHO C3H8 C4H6 C4H9CHO C5H8
* CBUT2ENE CH3CHO CH3CO2H CH3COCH3 CH3OCH3 CH3OCHO CH3OH CH4 CHEX
* CHEX2ENE CPENT2ENE CYHEXOL CYHEXONE DIEK DIET35TOL DIETETHER
* DIIPRETHER DIME35EB DMC DMM EBENZ EOX2EOL ETBE ETHACET ETHGLY
* HCHO HCOOH HEX1ENE HEX2ONE HEX3ONE IBUTOL IC4H10 IC5H12 IPBENZ
* IPEAOH IPEBOH IPECOH IPRCHO IPROACET IPROPOL M22C4 M23C4 M2HEX
* M2PE M3HEX M3PE ME2BUT1ENE ME2BUT2ENE ME3BUOL ME3BUT1ENE MEK
* MEPROPENE METHACET METHTOL MIBK MIBKAOH MIPK MO2EOL MPRK MTBE
* MTBK MXYL NBUTACET NBUTOL NC10H22 NC11H24 NC12H26 NC4H10 NC5H12
* NC6H14 NC7H16 NC8H18 NC9H20 NEOP NPROACET NPROPOL OETHTOL OXYL
* PBENZ PECOH PENT1ENE PETHTOL PR2OHMOX PROPACID PROPGLY PXYL
* SBUTACET STYRENE TBUACET TBUT2ENE TBUTOL THEX2ENE TM123B TM124B
* TM135B TOLUENE TPENT2ENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
C5H8	C=CC(=C)C	InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3	RRHGJUQNOFWUDK-UHFFFAOYSA-N	C5H8	68.117	false	false	ISOPRENE; 78-79-5; 2-Methyl-1,3-butadiene; 2-Methylbuta-1,3-diene; 1,3-Butadiene, 2-methyl-
CARB10								
CARB11								
CARB11A								
CARB12								
CARB13								
CARB14								
CARB15								
CARB16								
CARB17								
CARB18								
CARB19								
CARB20								
CARB21								
CARB22								
CARB23								
CARB24								
CARB25								
CARB26								
CARB27								
CARB28								
CARB29								
CARB3								
CARB30								
CARB31								
CARB32								
CARB33								
CARB34								
CARB35								
CARB6								
CARB7								
CARB9								
CBUT2ENE	CC=CC	InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3	IAQRGUVFOMOMEM-UHFFFAOYSA-N	C4H8	56.1063	false	false	.beta.-Butene; .beta.-Butylene; AKOS032960957; DTXSID1026748; FT-0611627
CCARB12								
CCARB14								
CH3CHO	CC=O	InChI=1S/C2H4O/c1-2-3/h2H,1H3	IKHGUXGNUITLKF-UHFFFAOYSA-N	C2H4O	44.0526	false	false	aldehyde; acetaldehyde; 75-07-0; ACETYL GROUP; ethanal
CH3CO2H	CC(=O)O	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	QTBSBXVTEAMEQO-UHFFFAOYSA-N	C2H4O2	60.052	false	false	acetic -acid; acetic acid; acetic acid-; acetic-acid; ACY
CH3CO3	CC(=O)O[O]	InChI=1S/C2H3O3/c1-2(3)5-4/h1H3	ZBQKPDHUDKSCRS-UHFFFAOYSA-N	C2H3O3	75.0434	false	true	acetyldioxidanyl; (Acetylperoxy) radical; 36709-10-1; Acetylperoxy radical; CH3COO2
CH3CO3H	CC(=O)OO	InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3	KFSLWBXXFJQRDL-UHFFFAOYSA-N	C2H4O3	76.0514	false	false	PERACETIC ACID; 79-21-0; Ethaneperoxoic acid; Peroxyacetic acid; Acetic peroxide
CH3COCH3	CC(=O)C	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CSCPPACGZOOCGX-UHFFFAOYSA-N	C3H6O	58.0791	false	false	acetone; 67-64-1; 2-propanone; MFCD00008765; Aceton
CH3NO3	CON(=O)=O	InChI=1S/CH3NO3/c1-5-2(3)4/h1H3	LRMHVVPPGGOAJQ-UHFFFAOYSA-N	CH3NO3	77.0394	false	false	METHYL NITRATE; 598-58-3; Nitric acid, methyl ester; nitric acid methyl ester; BRN 1699872
CH3O2	CO[O]	InChI=1S/CH3O2/c1-3-2/h1H3	WTFNSXYULBQCQV-UHFFFAOYSA-N	CH3O2	47.0333	false	true	Methyldioxy radical; 2143-58-0; Methyldioxy; (Methylperoxy) radical; DTXSID10944007
CH3OCH3	COC	InChI=1S/C2H6O/c1-3-2/h1-2H3	LCGLNKUTAGEVQW-UHFFFAOYSA-N	C2H6O	46.0684	false	false	DIMETHYL ETHER; Methyl ether; 115-10-6; Methoxymethane; Methane, oxybis-
CH3OCHO	COC=O	InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3	TZIHFWKZFHZASV-UHFFFAOYSA-N	C2H4O2	60.052	false	false	METHYL FORMATE; 107-31-3; Formic acid, methyl ester; Formic acid methyl ester; Methyl methanoate
CH3OH	CO	InChI=1S/CH4O/c1-2/h2H,1H3	OKKJLVBELUTLKV-UHFFFAOYSA-N	CH4O	32.0419	false	false	67-56-1; methanol; methanol-; MOH; methyl alcohol
CH3OOH	COO	InChI=1S/CH4O2/c1-3-2/h2H,1H3	MEUKEBNAABNAEX-UHFFFAOYSA-N	CH4O2	48.0413	false	false	Methyl hydroperoxide; 3031-73-0; hydroperoxymethane; CCRIS 4486; DTXSID10184401
CH4	C	InChI=1S/CH4/h1H4	VNWKTOKETHGBQD-UHFFFAOYSA-N	CH4	16.0425	false	false	methane; 74-82-8; Marsh gas; Methyl hydride; 150036-83-2
CHEX	C1CCCCC1	InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2	XDTMQSROBMDMFD-UHFFFAOYSA-N	C6H12	84.1595	false	false	CYCLOHEXANE; 110-82-7; Hexamethylene; Cyclohexan; Hexahydrobenzene
CHEX2ENE	CCC/C=C\C	InChI=1S/C6H12/c1-3-5-6-4-2/h3,5H,4,6H2,1-2H3/b5-3-	RYPKRALMXUUNKS-HYXAFXHYSA-N	C6H12	84.1595	false	false	7688-21-3; cis-2-Hexene; (Z)-Hex-2-ene; (Z)-2-Hexene; 2-Hexene, (Z)-
CO	[C-]#[O+]	InChI=1S/CO/c1-2	UGFAIRIUMAVXCW-UHFFFAOYSA-N	CO	28.01		false	
CPENT2ENE	CC/C=C\C	InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-	QMMOXUPEWRXHJS-HYXAFXHYSA-N	C5H10	70.1329	false	false	627-20-3; cis-2-PENTENE; (Z)-Pent-2-ene; (Z)-2-Pentene; 2-Pentene, (Z)-
CYHEXOL	OC1CCCCC1	InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2	HPXRVTGHNJAIIH-UHFFFAOYSA-N	C6H12O	100.1589	false	false	CYCLOHEXANOL; 108-93-0; Cyclohexyl alcohol; cyclohexyl-alcohol; Hexahydrophenol
CYHEXONE	O=C1CCCCC1	InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2	JHIVVAPYMSGYDF-UHFFFAOYSA-N	C6H10O	98.143	false	false	CYCLOHEXANONE; 108-94-1; Cyclohexanon; Ketohexamethylene; Pimelic ketone
DHCARB9						false		
DHPCARB9						false		
DHPR12O2	*-O[O]					false	true	
DHPR12OOH						false		
DIEK	CCC(=O)CC	InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3	FDPIMTJIUBPUKL-UHFFFAOYSA-N	C5H10O	86.1323	false	false	96-22-0; 3-PENTANONE; Pentan-3-one; Diethyl ketone; Dimethylacetone
DIET35TOL	CCc1cc(CC)cc(C)c1	InChI=1S/C11H16/c1-4-10-6-9(3)7-11(5-2)8-10/h6-8H,4-5H2,1-3H3	HILAULICMJUOLK-UHFFFAOYSA-N	C11H16	148.2447	false	false	2050-24-0; 1,3-DIETHYL-5-METHYLBENZENE; 3,5-Diethyltoluene; Benzene, 1,3-diethyl-5-methyl-; Toluene, 3,5-diethyl-
DIETETHER	CCOCC	InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	RTZKZFJDLAIYFH-UHFFFAOYSA-N	C4H10O	74.1216	false	false	ether; DIETHYL ETHER; diethyl-ether; 60-29-7; DIETHYLETHER
DIIPRETHER	CC(C)OC(C)C	InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3	ZAFNJMIOTHYJRJ-UHFFFAOYSA-N	C6H14O	102.1748	false	false	DIISOPROPYL-ETHER; Diisopropyl ether; 108-20-3; ISOPROPYL ETHER; diisopropylether
DIME35EB	CCc1cc(C)cc(C)c1	InChI=1S/C10H14/c1-4-10-6-8(2)5-9(3)7-10/h5-7H,4H2,1-3H3	LMAUULKNZLEMGN-UHFFFAOYSA-N	C10H14	134.2182	false	false	934-74-7; 1-Ethyl-3,5-dimethylbenzene; 5-Ethyl-m-xylene; 1,3-DIMETHYL-5-ETHYLBENZENE; Benzene, 1-ethyl-3,5-dimethyl-
DMC	COC(=O)OC	InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3	IEJIGPNLZYLLBP-UHFFFAOYSA-N	C3H6O3	90.0779	false	false	616-38-6; Dimethyl carbonate; Carbonic acid, dimethyl ester; Methyl carbonate; Methyl carbonate ((MeO)2CO)
DMM	COCOC	InChI=1S/C3H8O2/c1-4-3-5-2/h3H2,1-2H3	NKDDWNXOKDWJAK-UHFFFAOYSA-N	C3H8O2	76.0944	false	false	109-87-5; Dimethoxymethane; METHYLAL; Methane, dimethoxy-; Formal
EBENZ	CCc1ccccc1	InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3	YNQLUTRBYVCPMQ-UHFFFAOYSA-N	C8H10	106.165	false	false	ETHYLBENZENE; 100-41-4; Phenylethane; ETHYL-BENZENE; Ethyl benzene
ECARB13								
ECARB7								
EOX2EOL	OCCOCC	InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3	ZNQVEEAIQZEUHB-UHFFFAOYSA-N	C4H10O2	90.121	false	false	2-Ethoxyethanol; 110-80-5; ETX; ETHYLENE GLYCOL MONOETHYL ETHER; ethylene glycol-monoethyl ether
ETBE	CCOC(C)(C)C	InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3	NUMQCACRALPSHD-UHFFFAOYSA-N	C6H14O	102.1748	false	false	637-92-3; tert-Butyl ethyl ether; 2-Ethoxy-2-methylpropane; Ethyl tert-butyl ether; Ethyl-tert-butyl ether
ETHACET	CCOC(=O)C	InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3	XEKOWRVHYACXOJ-UHFFFAOYSA-N	C4H8O2	88.1051	false	false	ETHYL ACETATE; ethyl-acetate; ethyl_acetate; 141-78-6; AcOEt
ETHGLY	OCCO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	LYCAIKOWRPUZTN-UHFFFAOYSA-N	C2H6O2	62.0678	false	false	1, 2-Ethanediol; 1,2-ethanediol; ETHYLENE GLYCOL; ethylene-glycol; 107-21-1
H2	[HH]	InChI=1S/H2/h1H	UFHFLCQGNIYNRP-UHFFFAOYSA-N	H2	2.016		false	
H2O2	OO	InChI=1S/H2O2/c1-2/h1-2H	MHAJPDPJQMAIIY-UHFFFAOYSA-N	H2O2	34.015		false	
HCHO	C=O	InChI=1S/CH2O/c1-2/h1H2	WSFSSNUMVMOOMR-UHFFFAOYSA-N	CH2O	30.026	false	false	50-00-0; formaldehyde; CARBON-MONOXIDE; 30525-89-4; methanal
